"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITD2","Provincia Autonoma Trento","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",129,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",13,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",21,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",49.4,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",46.2,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",25.4,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",24.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",18.9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",21.5,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",13.1,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",10.8,,
"ITD","Nord-est","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",2919,,
"ITD","Nord-est","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",2533,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",203,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",202,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",87.8,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",87.8,,
"ITC4","Lombardia","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",37,,
"ITC4","Lombardia","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",26,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",338,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",320,,
"ITD","Nord-est","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",37.3,,
"ITD","Nord-est","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",31,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",6,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",4,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",12.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",15.9,,
"IT","Italy","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",89.2,,
"IT","Italy","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",89.5,,
"ITD5","Emilia-Romagna","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",14.4,,
"ITD5","Emilia-Romagna","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",13.9,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",46.6,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",43.5,,
"ITD","Nord-est","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",1881,,
"ITD","Nord-est","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",1989,,
"ITD","Nord-est","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",69,,
"ITD","Nord-est","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",62,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",3.7,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",2.2,,
"ITD3","Veneto","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",348,,
"ITD3","Veneto","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",343,,
"ITD","Nord-est","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.1,,
"ITD","Nord-est","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.1,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",11,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",12,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",24.1,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",23.4,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",12.4,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",9.2,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",740,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",755,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",13.6,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",13.4,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",102,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",83,,
"ITD","Nord-est","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",24,,
"ITD","Nord-est","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",24.3,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",185,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",179,,
"ITD3","Veneto","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",36.2,,
"ITD3","Veneto","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",34.1,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",3.5,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",4.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",276,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",294,,
"IT","Italy","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",2805,,
"IT","Italy","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",2749,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",3.6,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",3.3,,
"ITD","Nord-est","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",87,,
"ITD","Nord-est","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",86,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",4.4,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",2.6,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",4.3,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",6.5,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",95,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",80,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",37.2,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",34,,
"ITC4","Lombardia","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",13,,
"ITC4","Lombardia","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",12.2,,
"ITD3","Veneto","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",682,,
"ITD3","Veneto","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",893,,
"ITD3","Veneto","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",21.3,,
"ITD3","Veneto","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",25.7,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",43,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",57,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",54.1,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",51,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",5,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",9,,
"ITD","Nord-est","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",930,,
"ITD","Nord-est","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",853,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",79.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",82.4,,
"ITD","Nord-est","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",41,,
"ITD","Nord-est","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",37.8,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",394,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",375,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.4,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",2.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",66,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",77,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.5,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.7,,
"ITD3","Veneto","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",0.5,,
"ITD3","Veneto","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.6,,
"ITD","Nord-est","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",3.1,,
"ITD","Nord-est","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",3.5,,
"ITD","Nord-est","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",3210,,
"ITD","Nord-est","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",3090,,
"ITC4","Lombardia","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",72,,
"ITC4","Lombardia","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",67,,
"ITC4","Lombardia","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",864,,
"ITC4","Lombardia","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",835,,
"ITC4","Lombardia","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.1,,
"ITC4","Lombardia","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",0.7,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",13.8,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",10.2,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",223,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",199,,
"ITD3","Veneto","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",87.2,,
"ITD3","Veneto","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",88.7,,
"ITD3","Veneto","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",407,,
"ITD3","Veneto","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",401,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",22.1,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",24.1,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",20.6,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",22.8,,
"ITD","Nord-est","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",336,,
"ITD","Nord-est","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",450,,
"ITD3","Veneto","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",10.8,,
"ITD3","Veneto","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",9.9,,
"ITC4","Lombardia","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",278,,
"ITC4","Lombardia","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",466,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",326,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",323,,
"IT","Italy","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",12029,,
"IT","Italy","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",10858,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",86.3,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",85.3,,
"ITD3","Veneto","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",249,,
"ITD3","Veneto","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",286,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",82.9,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",83.9,,
"ITD","Nord-est","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",1707,,
"ITD","Nord-est","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",2060,,
"ITD5","Emilia-Romagna","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.1,,
"ITD5","Emilia-Romagna","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.2,,
"ITC4","Lombardia","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",4.2,,
"ITC4","Lombardia","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",6.8,,
"ITD3","Veneto","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",760,,
"ITD3","Veneto","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",814,,
"ITD","Nord-est","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",0.9,,
"ITD","Nord-est","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.8,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",2,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",2,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",26,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",24,,
"IT","Italy","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",9703,,
"IT","Italy","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",10012,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",45,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",45,,
"ITC4","Lombardia","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",13.7,,
"ITC4","Lombardia","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",14,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",115,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",116,,
"ITD","Nord-est","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",1051,,
"ITD","Nord-est","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",1056,,
"ITD","Nord-est","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",21.8,,
"ITD","Nord-est","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",25.2,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",150,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",168,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",82,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",96,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",12.4,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",13.5,,
"ITD3","Veneto","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",4.1,,
"ITD3","Veneto","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",6,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",4,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",12.9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",12.6,,
"ITD3","Veneto","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",1139,,
"ITD3","Veneto","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",1021,,
"IT","Italy","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",3,,
"IT","Italy","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",2.9,,
"ITC4","Lombardia","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",911,,
"ITC4","Lombardia","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",954,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",59.2,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",56,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",11.5,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",11.3,,
"IT","Italy","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",7.5,,
"IT","Italy","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",7.1,,
"IT","Italy","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",33460,,
"IT","Italy","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",34433,,
"ITD3","Veneto","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",15,,
"ITD3","Veneto","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",20,,
"IT","Italy","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",12481,,
"IT","Italy","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",11951,,
"ITD","Nord-est","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",87.5,,
"ITD","Nord-est","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",88.2,,
"ITC4","Lombardia","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",0.6,,
"ITC4","Lombardia","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.4,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",198,,
