"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",1956.466,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",1950.351,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",569.29,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",566.411,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",1254.661,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",1253.397,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",310.186,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",303.448,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",1096.041,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",1091.093,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",542.123,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",550.369,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",3772.301,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",3764.718,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",6.186,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",6.06,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",20.486,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",20.262,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",3.424,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",3.586,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",16.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",16.421,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",5.829,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",5.948,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",52.225,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",52.276,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",9.226,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",9.162,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",17.563,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",17.644,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",3.261,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",3.415,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",16.741,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",16.608,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",8.987,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",8.997,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",55.777,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",55.826,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",15.412,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",15.222,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",38.049,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",37.907,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",6.685,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",33.042,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",33.028,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",14.816,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",14.945,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",108.002,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",108.102,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",63.819,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",63.215,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",210.015,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",206.673,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",48.135,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",41.559,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",226.415,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",235.198,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",96.512,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",96.11,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",644.897,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",642.755,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",121.723,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",117.953,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",199.764,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",203.417,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",43.245,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",40.678,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",228.38,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",226.819,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",123.725,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",124.547,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",716.837,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",713.415,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",185.542,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",181.169,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",409.778,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",410.09,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",91.38,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",82.237,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",454.796,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",462.017,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",220.237,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",220.657,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",1361.734,,
"ITC3","Liguria","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",1356.17,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",445.066,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",430.7,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",1506.645,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",1496.87,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",330.645,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",341.061,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",1284.158,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",1305.166,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",622.955,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",637.232,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",4189.469,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",4211.031,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",725.251,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",709.546,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",1356.579,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",1331.459,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",389.046,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",411.538,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",1203.471,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",1210.558,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",759.828,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",787.924,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",4434.175,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",4451.024,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",1170.317,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",1140.246,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",2863.225,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",2828.33,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",719.69,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",752.599,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",2487.629,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",2515.724,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",1382.783,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",1425.156,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",8623.644,,
"ITC4","Lombardia","POP_15","population 15 years and over (thousands)","9","total","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",8662.055,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",41.606,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",39.264,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",155.134,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",158.441,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",75.077,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",73.801,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",111.176,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",112.283,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",55.261,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",56.882,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",438.255,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",440.671,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",65.581,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",63.094,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",134.74,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",135.561,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",64.532,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",64.419,,
"ITDA","Trentino Alto Adige / Südtirol","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",122.559,,
